0, -0, -00,0
1, -0, -0, 8.43061, 8.43061
13897, 9.83117, 13.1971, 8.64678, 8.64678
27674, 7.41286, 4.2049, 6.24443, 5.15431
41422, 7.34377, 0.611981, 6.92881, 7.80237
55165, 5.30054, 3.20796, 7.11099, 8.99792
68916, 6.23825, 3.51395, 7.84843, 8.48016
82741, 8.11368, 4.35296, 7.76289, 8.58722
96515, 9.44622, 6.27774, 7.11304, 8.24271
110296, 9.12049, 6.96868, 7.18277, 8.17851
124055, 10.8281, 9.76208, 7.42241, 8.15528
137802, 13.9966, 8.64669, 6.53821, 7.53623
151548, 15.0824, 9.79169, 6.3265, 7.9955
165292, 18.7937, 12.3186, 6.13669, 7.8276
179038, 20.225, 13.5919, 5.20121, 7.26311
192791, 18.1324, 14.0756, 4.87975, 7.03269
206546, 18.3495, 16.4445, 5.55488, 6.45745
220302, 20.4717, 16.2767, 5.56316, 6.44972
234056, 21.9425, 20.2546, 5.05073, 6.59456
247954, 21.7549, 19.2478, 4.7782, 5.57558
261978, 22.0609, 20.4026, 4.81869, 5.92873
275858, 24.0449, 21.4391, 4.79211, 5.14631
289620, 25.3873, 23.6303, 4.29177, 5.44584
303382, 25.7032, 23.4922, 3.95744, 4.89173
317138, 25.486, 24.9629, 4.07667, 4.67411
330885, 24.6075, 25.5551, 3.99838, 4.6023
344630, 25.8315, 26.2559, 4.27778, 4.47216
358378, 26.2263, 27.6181, 3.97268, 4.30725
372126, 25.7427, 27.7365, 3.89176, 3.95143
385870, 25.6933, 28.5953, 4.05487, 3.76611
399616, 25.9993, 30.1055, 4.09942, 3.70596
413372, 27.2726, 29.6712, 4.04446, 3.29168
427124, 27.5984, 31.1024, 4.08161, 3.37968
440878, 27.1443, 30.2536, 3.65297, 3.01228
454631, 28.0425, 31.1715, 3.79787, 3.24288
468384, 29.0987, 31.7045, 3.56602, 2.98309
483017, 28.2103, 32.0796, 3.28333, 2.82486
498477, 29.3257, 32.3856, 3.14835, 2.70717
513992, 29.3257, 32.6916, 3.22889, 2.60619
529454, 30.6385, 33.0963, 3.23375, 2.50302
544919, 29.8785, 33.3135, 2.86968, 2.36989
560384, 30.6681, 33.6885, 3.07867, 2.28656
575865, 30.984, 33.8169, 2.85764, 2.13786
591699, 30.984, 34.0932, 2.76406, 2.09414
607725, 31.3393, 34.261, 2.53506, 1.98897
623745, 32.277, 34.0932, 2.64433, 1.91232
639762, 32.1981, 34.7644, 2.37116, 1.92877
655931, 32.0303, 34.261, 2.37695, 1.66904
672337, 32.2573, 35.2185, 2.40826, 1.81672
688483, 32.3757, 34.8533, 2.34648, 1.51695
704541, 31.9217, 34.8237, 2.28071, 1.58198
720569, 32.5041, 34.8533, 2.39119, 1.55533
736572, 32.5238, 35.1593, 2.40231, 1.47619
752584, 32.3461, 34.6559, 2.19493, 1.39037
768599, 32.6521, 34.9224, 2.33485, 1.49466
784339, 33.1654, 34.725, 2.12655, 1.38622
799835, 33.0963, 34.9816, 1.9632, 1.40623
815299, 33.5306, 34.725, 1.95981, 1.21962
830781, 33.5207, 35.1889, 1.81545, 1.33422
846233, 32.9877, 34.0439, 1.79278, 1.17258
861686, 33.1555, 34.9717, 1.9172, 1.45425
877146, 33.6096, 33.5898, 1.69873, 0.906402
892917, 33.7379, 35.7713, 1.69434, 1.51027
908934, 33.8169, 35.4554, 1.76264, 0.871382
924952, 32.8693, 34.952, 1.58649, 1.63976
940965, 33.7379, 35.3073, 1.82528, 1.03921
956989, 33.0864, 35.564, 1.66314, 1.47508
973028, 33.3529, 32.9384, 1.71928, 0.807957
989052, 33.2345, 33.6589, 1.5528, 1.50571
1005290, 37.3802, 40.065, 10.0601, 9.09686
1021706, 39.1865, 36.4721, 9.08795, 8.08644
1037989, 40.8645, 38.841, 8.51864, 9.23977
1054059, 40.2328, 40.3315, 8.41598, 8.74358
1070155, 38.7818, 40.7066, 8.73139, 8.47719
1085184, 41.2495, 42.3747, 9.28158, 8.51351
1099316, 41.9305, 43.2433, 8.74101, 8.18375
1113342, 42.0983, 43.5592, 8.68472, 8.06665
1127324, 43.6184, 45.0793, 8.64295, 8.04038
1141254, 44.4969, 45.8689, 8.46639, 7.78843
1155039, 45.8887, 47.31, 8.33755, 7.67403
1168787, 46.1848, 47.0435, 8.05815, 7.37087
1182533, 47.1126, 47.9319, 8.07662, 7.53721
